kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0,40,1019.1,5.4,4,11.5,1,1015.9
0,41,1018.4,5.5,2.7,11.3,1,1015.2
0,42,1017.9,5.5,1.9,11.1,1,1014.7
0,41,1017.7,5.3,0.9,10.8,1,1014.5
0,45,1017.1,5.7,1.7,10.4,0.3,1013.9
0,49,1017,5.8,3.1,9.4,0,1013.8
0,53,1016.6,6.1,2.9,9,0,1013.4
0,55,1016.2,6.1,4.2,8.5,0,1013
0,53,1016.1,6,3.5,8.8,0,1012.9
0,52,1015.5,6.1,2.4,9.4,0,1012.3
0,58,1015.1,6.5,2.8,8.7,0,1011.9
0,61,1014.4,6.9,0.7,8.7,0,1011.2
0,64,1014.1,7.1,2.1,8.4,0,1010.9
0,67,1013.4,7,1.5,7.7,0,1010.2
0,71,1012.4,7,1.6,6.7,0,1009.2
0,72,1010.8,7.1,2.6,6.8,0,1007.6
0,72,1010,7.9,2.8,8.3,0,1006.8
0,57,1010.8,7.6,4.1,11.2,0,1007.6
0,81,1011.2,9.4,1.3,9.2,0,1008
1,82,1011.3,9.6,2.5,9.3,0,1008.1
0.5,82,1010.2,9.2,3.2,8.7,0,1007
0,83,1009.4,9.4,3.3,8.8,0,1006.2
0,77,1008.5,9.7,3.8,10.4,0.3,1005.3
0.5,65,1008.9,9.6,5.4,12.8,0,1005.8
2,83,1011.1,9.9,4.3,9.5,0,1007.9
1,79,1011.6,9.3,9,9.4,0.3,1008.4
2.5,76,1012.8,8.8,5.2,9.1,0,1009.6
0.5,61,1013.2,7.5,6.2,10,0.1,1010
0,55,1014,6.7,3.6,9.8,0,1010.8
0,56,1014.5,6.7,2.4,9.7,0,1011.3
0,59,1015.4,7,3.3,9.5,0,1012.2
0,51,1016,6,5.8,9.4,0,1012.8
0,47,1016.4,5.3,5.2,8.8,0,1013.2
0,44,1017.3,4.9,5.9,8.4,0,1014.1
0,45,1017.8,5,3.5,8.6,0,1014.6
0,45,1018.2,5,3.5,8.6,0,1015
0,44,1018.7,5,3.6,8.8,0,1015.5
0,44,1019,4.8,3.9,8.2,0,1015.8
0,44,1019.1,4.8,3.9,8.1,0,1015.9
0,41,1019.6,4.6,3.6,8.5,0,1016.4
0,53,1020.1,5.3,0.9,6.9,0,1016.9
0,53,1020.6,5.5,0.8,7.5,0,1017.4
0,57,1021,5.9,1.2,7.4,0,1017.8
0,51,1020.9,5.7,1,8.6,0.3,1017.7
0,56,1021.1,6.6,2,9.4,0.4,1017.9
0,44,1020.7,5.5,1.3,10.2,1,1017.5
0,45,1020.8,6.2,2.8,11.7,0.8,1017.6
0,38,1019.9,5.5,1.6,12.4,0.9,1016.7
0,41,1019.6,5.6,3.8,11.7,1,1016.4
0,47,1019.5,6.3,4.5,11.4,1,1016.3
0,49,1019.9,6.3,4.1,10.6,0.2,1016.7
0,49,1019.8,6.1,4.2,10.2,0,1016.6
0,51,1019.6,6.1,2.6,9.7,0,1016.4
0,52,1019.8,6.3,1.3,9.7,0,1016.6
0,48,1020.2,5.6,3.2,9.2,0,1017
0,44,1019.9,5,1.9,8.8,0,1016.7
0,48,1019.6,5.3,2.3,8.4,0,1016.4
0,51,1019.6,5.4,2.8,7.8,0,1016.4
